time strain
0.042967758 -6.6915138e-22
0.043012656 -6.683654599999999e-22
0.043057555 -6.6757707e-22
0.043102453 -6.6678601e-22
0.043147351 -6.6599198e-22
0.04319225 -6.651946e-22
0.043237148 -6.643929e-22
0.043282046 -6.635871900000001e-22
0.043326945 -6.6277623000000005e-22
0.043371843 -6.6195701e-22
0.043416742 -6.6113003e-22
0.04346164 -6.602998199999999e-22
0.043506538 -6.5946992e-22
0.043551437 -6.5864094e-22
0.043596335 -6.5781214e-22
0.043641234 -6.569849e-22
0.043686132 -6.561586799999999e-22
0.04373103 -6.5533282e-22
0.043775929 -6.545077299999999e-22
0.043820827 -6.5368374e-22
0.043865726 -6.5286034e-22
0.043910624 -6.5203696e-22
0.043955522 -6.512132899999999e-22
0.044000421 -6.503896999999999e-22
0.044045319 -6.495660199999999e-22
0.044090217 -6.487413299999999e-22
0.044135116 -6.479147600000001e-22
0.044180014 -6.4708642e-22
0.044224913 -6.462561799999998e-22
0.044269811 -6.454247100000001e-22
0.044314709 -6.445913100000001e-22
0.044359608 -6.4375569e-22
0.044404506 -6.429184599999999e-22
0.044449405 -6.420809e-22
0.044494303 -6.4124352e-22
0.044539201 -6.4040638999999995e-22
0.0445841 -6.395693599999999e-22
0.044628998 -6.3873188e-22
0.044673897 -6.378938899999999e-22
0.044718795 -6.370557399999999e-22
0.044763693 -6.3621711e-22
0.044808592 -6.353770500000001e-22
0.04485349 -6.345354499999999e-22
0.044898388 -6.336933199999999e-22
0.044943287 -6.328509599999999e-22
0.044988185 -6.3200873e-22
0.045033084 -6.311657200000001e-22
0.045077982 -6.303219199999999e-22
0.04512288 -6.2947602e-22
0.045167779000000005 -6.2862601e-22
0.045212677 -6.2777183e-22
0.045257576 -6.269153e-22
0.045302474 -6.260574999999999e-22
0.045347372 -6.251972700000001e-22
0.045392271 -6.243365699999999e-22
0.045437169 -6.234767699999999e-22
0.045482068 -6.2261782e-22
0.045526966 -6.2175865e-22
0.045571864 -6.2089834e-22
0.045616763 -6.2003619e-22
0.045661661 -6.1917200000000005e-22
0.045706559 -6.1830486e-22
0.045751458 -6.174355199999999e-22
0.045796356 -6.165647199999999e-22
0.045841255 -6.156929999999999e-22
0.045886153 -6.1482013e-22
0.045931050999999994 -6.139467399999999e-22
0.04597595 -6.130730299999999e-22
0.046020848 -6.121995899999999e-22
0.046065747 -6.1131697e-22
0.046110645 -6.104687299999999e-22
0.046155543 -6.0958581e-22
0.046200442 -6.085452799999999e-22
0.04624534 -6.073489199999999e-22
0.046290239 -6.060463e-22
0.04633513700000001 -6.047825099999999e-22
0.046380035 -6.0357546e-22
0.046424934 -6.023196100000001e-22
0.046469832 -6.0112650999999995e-22
0.04651473 -5.9982803e-22
0.046559629 -5.986379699999999e-22
0.046604527 -5.9740729e-22
0.046649426 -5.9624041e-22
0.046694324 -5.9509723e-22
0.046739222 -5.938467400000001e-22
0.046784121 -5.9278000000000005e-22
0.046829019 -5.915066199999999e-22
0.046873918 -5.904585399999999e-22
0.046918816 -5.892710699999999e-22
0.046963714 -5.880871999999999e-22
0.047008613 -5.870241799999999e-22
0.047053511 -5.858959099999999e-22
0.04709841 -5.8476032000000005e-22
0.047143308 -5.836571400000001e-22
0.047188206 -5.825961499999999e-22
0.047233105 -5.8145115e-22
0.047278003 -5.8031886e-22
0.047322901 -5.7927145999999995e-22
0.0473678 -5.7812976e-22
0.047412698 -5.769313300000001e-22
0.047457597 -5.759252599999999e-22
0.04750249500000001 -5.7485595e-22
0.047547393 -5.735612799999999e-22
0.047592292 -5.725491099999999e-22
0.04763719 -5.715574800000001e-22
0.047682089 -5.7028797999999995e-22
0.047726987 -5.6918384e-22
0.047771885 -5.682400299999999e-22
0.047816784 -5.671515400000001e-22
0.047861682 -5.6587572e-22
0.047906581 -5.6490692000000005e-22
0.047951479 -5.6398732e-22
0.047996377 -5.6279851e-22
0.048041276 -5.616331e-22
0.048086174 -5.607344400000001e-22
0.048131072 -5.5978791e-22
0.048175971 -5.585898399999999e-22
0.048220869 -5.574942900000001e-22
0.048265768 -5.566199799999999e-22
0.048310666 -5.5563313e-22
0.048355564 -5.544692600000001e-22
0.048400463 -5.534209299999999e-22
0.048445361 -5.5256085e-22
